,artist,song,lyric
17710,Future,Rock Star,All my bitches in love with me
17711,Future,Stick to the Models,Deal with you
17712,Future,Gangland,"I made myself to a boss, nigga"
17713,Future,100 Shooters,"Bust down on an Oochie Wally, I’m so sincere"
17714,Future,Stand,She looking good with them jeans on it
17715,Future,First Off (Demo),I should pimp this bitch and make her pay me
17716,Future,Ain’t Coming Back,Ask me how I made a mil' and didn't fold
17717,Future,Undefeated,"Fresh in the blazer, yeah"
17718,Future,I Can’t Believe,"I’m moving on, I’m moving on"
17719,Future,All The Time,"All the time, all the time, all the time, all the time"
17720,Future,Rent Money,Nigga talkin' about he want a gram
17721,Future,Blast Off,Money power drinkin on mud
17722,Future,Love Thy Enemies,"Roses, roses I sent, they forever died, oh"
17723,Future,Overdose,"It's, it's, it's overload, overload, overload"
17724,Future,Groupies,"Sip on my cup, it's a movie"
17725,Future,Bosses,"Biggest bosses, bosses, what's the tab, what's the tab on it?"
17726,Future,56 Nights,Lately I've been hanging around with my savages
17727,Future,Worst Day,Took off on a store run and jumped on a plane
17728,Future,Pray for a Key,"Drivin' in the car, smoke an ounce in sixty minutes"
17729,Future,Incredible,In-in-incredible
17730,Future,Zoom,Nitro gasoline (Pew)
17731,Future,Easter Pink,"I'm sippin' Easter pink, I'm sippin' Easter pink"
17732,Future,Show My Chain Some Love,"I took a piss in the coupe, I didn't deny it"
17733,Future,Magic (Promo Only Clean Edit),Learned the Astronaut Kid no such thing as limitation
17734,Future,Al Sharpton,Wild niggas are hungry and thirsty
17735,Future,Easter Pink,Came to get da game up Future Brett Farve
17736,Future,Kno the Meaning,That's when I did Beast Mode
17737,Future,Stick Talk,They say my whole hood got it under investigation
17738,Future,Rockstar Chainz,"Ain't tryna be cool with no rap nigga, I'm fuckin' they ho, dawg"
17739,Future,Keys,Got Snoop on the phone line
17740,Future,Take This 4 Granted,(?)
17741,Future,My Collection,Had to make sure I got it fully loaded
17742,Future,News or Something,"Work the Cadillac, panoramic, no panties"
17743,Future,Incredible,"The best thing about you, oh you're that far from me"
17744,Future,My Momma,My daddy had bust him a nut
17745,Future,First Off,"Point 'em out, then turn around, that's how we let 'em in"
17746,Future,T-Shirt,"Yeah, yeah"
17747,Future,Massage in My Room,"Check the work, 10-4"
17748,Future,Fettuccine,"I got that fettuccine on me, I got that fettuccine"
17749,Future,Karate Chop,Got a Panamera 'round a young nigga neck
17750,Future,Crushed Up,"Diamonds in the face crushed up, I can see it"
17751,Future,Might as Well,"Theodore, no informant (I got it)"
17752,Future,Back of the Ghost,Flatline a nigga in the middle of the street
17753,Future,Perkys Calling,Started rockin' Balmain's like they Levi's
17754,Future,Mad Luv,The molly is great with a tan (That molly)
17755,Future,Freeband Taliban,I'm stacking money like 50
17756,Future,Faded,And we ain't neva gone fold we stay faded
17757,Future,Outer Space Bih,"California 'Rari, woah, woah, woah"
17758,Future,Shopping Spree,Ain't got panties up under that skirt
17759,Future,Feds Did a Sweep,"Them bands on me, more capital"
17760,Future,31 DAYS,I have her flying wherever I'm at (Let's go)
17761,Future,Faceshot,In the nick trap with the big 40 (Big 40)
17762,Future,Double Cups & Molly,"My dog shawty rock, my dog Don Juan"
17763,Future,No Wallet,"Come through the hood, I was sliding"
17764,Future,Just Like Bruddas,Molly on file and I'm sipping out the styrofoam
17765,Future,POA,We rockin' VV's and SS's (VV's and SS's)
17766,Future,Crushed Up,"Diamonds in the face crushed up, I can see it"
17767,Future,Georgia,"Ayy, bro, is that Jambo?"
17768,Future,Slow Down,"Embracing my dogs like brothers, man fuck all these diamonds"
17769,Future,Look Ahead,Still we coming in
17770,Future,Tricks on Me,"Had to look the other way, could be the other way"
17771,Future,Big Rube Speaks,My sweat and my tears dull pain
17772,Future,No Matter What,"We broke the rules, we took it further then"
17773,Future,Neva End,If I did come your way and you feel like runnin’
17774,Future,Birds Take A Bath,"Let them birds take a bath, and if they come out clean"
17775,Future,So Cold,Dale Earnhardt sponsored by the bud
17776,Future,How It Was,That's how it was
17777,Future,Good Kush And Alcohol (Love Me Demo),I can give a fuck 'bout no hater
17778,Future,Bye Bye,"Poppin' tags and smokin' kush, that's that la-la (Hold on)"
17779,Future,Throw Away,I'm gon' fuck you in Atlanta like we on an island (Yeah)
17780,Future,"Blood, Sweat, Tears",Y'all niggas never believed me
17781,Future,"Blood, Sweat, Tears","(You couldn't have known, you couldn't have known)"
17782,Future,Politics,"I done made some bitter mistakes, and I'm lurkin'"
17783,Future,Transform,"My attitude stanky, I'm on another planet"
17784,Future,In My Heart*,"You're in my hеart, the safest place to be"
17785,Future,Jordan Diddy,Jordan Diddy
17786,Future,On Purpose,Count this money so much how much I make his gang green (gang green)
17787,Future,First Off (Demo),"I make more than Dwyane Wade, baby"
17788,Future,Scrape,I put a lotta bands on another rinse
17789,Future,In Abundance (Demo),I do this shit again if I can be where I'm at today
17790,Future,Back on E,"In the club, fucking bitches, me and Trouble"
17791,Future,Rich $ex,And I have some Tom Fords on while you suckin' me
17792,Future,So Cold,"VVS's on meth, you can see the crystals, my neck in a blizzard"
17793,Future,Testify,"Huh, okay"
17794,Future,Jersey,I got my clique and they represent this
17795,Future,Hallucinating,I'm a young nigga with this cheque and I fuck it up
17796,Future,Bitches Ain’t Shit,"She'll fuck your homeboy, she'll take your money"
17797,Future,Rich $ex,"Baby girl, go and have rich sex (Future Hendrix)"
17798,Future,Mark McGwire,"After I smash her (What happen?), I don’t care who come next"
17799,Future,Call the Coroner,"Flatscreen, I back back, I see my racks stacked"
17800,Future,Eat Dat Up,By the time this 
17801,Future,Grammys,Swervin' out the Panoramic
17802,Future,My Ho 2,"She won't even get wet for you, for me she's swimming pool"
17803,Future,Inside the Mattress,We gon' party hard till the moon calls
17804,Future,4 da Gang,"I take the plastic off the seal, a trillion miles away (Yeah)"
17805,Future,This Sunday,"You know, I 'on’t give a fuck about blowing this money"
17806,Future,Call the Coroner,"Say fuck the drug task, go'n pass my gas mask"
17807,Future,Never Be The Same,I'm grinding so hard I'm just strengthening up my brain
17808,Future,Lay Up,Take a bar and I love it (A bar and I love it)
17809,Future,Splurge,When I’m in name brand clothes I’m materialistic
17810,Future,Crushed Up,"Diamonds in the face crushed up, I can see it"
17811,Future,Absolutely Going Brazy,These Gucci flops like chucks (Gucci)
17812,Future,Comin Out Strong,Kindness
17813,Future,March Madness,Dirty soda in a Styrofoam (Yee)
17814,Future,WHEN I THINK ABOUT IT,"I had to get some more Fugazi, they tryna figure me out"
17815,Future,Honest,"We done turnt up in Platinum, then we gon' hit Onyx"
17816,Future,Show Money,Got them bitches jolly rancher whole carrots on me
17817,Future,Walk On Minks,You can walk on minks (Woo)
17818,Future,Fuck You Gone Tell,"That brand new Ghost drop winter time, what the fuck they gone tell me"
17819,Future,Hate in Your Soul,"Got too many racks on me, can't fit in the wallet"
17820,Future,Argentiny,I'm alpo and richie porter
17821,Future,Run Up,"'Til I see a billion dollars, ain't complete baby (Complete, baby)"
17822,Future,Birds Take A Bath,"When them birds take a bath, watch it come out green"
17823,Future,Like Ohh,She got me like
17824,Future,Guap on Me,I pray it don't go to your head
17825,Future,Blow a Bag,"I blow a bag today, I don't do nothin' fugazi"
17826,Future,Slow Down,"Fuck these hoes in Phoenix, ain't got no more semen"
17827,Future,Gone To The Moon,I'm gone to the moon
17828,Future,Truth Gonna Hurt You,I swear the truth’s gonna hurt you
17829,Future,No Shame,10 bracelets on me lookin' like sunblock
17830,Future,Trance,"You put me in a trance, boy you put me in a trance"
17831,Future,Glove,Livin' lavish like a mini-series
17832,Future,Absolutely Going Brazy,I put a circuit in Kate like a waitress
17833,Future,Super Trapper,I'll raise ya 'bout that fettuccine then some
17834,Future,Usual,"Designer my clothes, we pouring up fours"
17835,Future,Tricks on Me,Could it be my ex playin' tricks on me?
17836,Future,T-Shirt,"Strippers, money, weed, Young Future I promote it"
17837,Future,Draco,You better not raise your voice at me (You)
17838,Future,T-Shirt,"See how consistent I am, see how persistent I am"
17839,Future,Fly Shit Only,"Fly shit only, fly shit only"
17840,Future,Dem,"Lit up a blunt, the blunt right here for niggas dead and gone"
17841,Future,Word To My Muva,Fuck what you hear pussy nigga get to hookin’
17842,Future,Lil Haiti Baby,"Oh, you want diamonds like this? It wasn’t nothing to get ‘em"
17843,Future,Slave Master,Stayin' true to this culture
17844,Future,Rich $ex,You can keep your Rollie on when I get to it (To it)
17845,Future,Lil One,"I'ma keep that cash on him, I'ma do the dash"
17846,Future,Fears*,This for your fans to know exactly how you feel that's what
17847,Future,No Compadre,I been rackin' in mechanicals
17848,Future,Fishscale,"Find a bitch, open shop, this ya spot, at her house, trap it out"
17849,Future,Damage,"And you know that it's true (You know it's true, you know it's true)"
17850,Future,Out Da Mudd,"I Got it out the mud, I Got it out the mud"
17851,Future,Low Life,I been on the molly and them Xans with your daughter
17852,Future,Last Breath,"You didn't ever hold me down, then I bought a new safe, didn't I?"
17853,Future,Used to This (Demo),"I love bein' in the studio, know what I'm sayin'?"
17854,Future,Im Good,"I get paper fast, quick, fast lane, no roof"
17855,Future,Honest,I keep a gang of bad bitches with me too
17856,Future,Never Be The Same,"But you don't take it no more, you sick and tired of it"
17857,Future,Use Me,"Oh, oh"
17858,Future,Thought It Was a Drought (Clean),Take me some ******* and pop me a ****
17859,Future,Accepting My Flaws,You know what I'm saying?
17860,Future,Lil Haiti Baby,"Pull up with that yappa, it wasn’t no facade"
17861,Future,Ain’t Coming Back,Had to tell so many I ain't comin' back
17862,Future,Fuck You Gone Tell,"The homie got double on life, what the fuck you gonna tell em"
17863,Future,Lay Up,I sell them keys on the regular (I'm up)
17864,Future,Hard,"I'm eatin five-star dinners, living like my nigga Stunna"
17865,Future,Fly Shit Only,We been gone on the molly
17866,Future,Inside the Mattress,Packs hid inside the mattress
17867,Future,Hands On You,When I put my hands on you
17868,Future,Ain’t Coming Back,"Yeah yeah, I ain't comin' back"
17869,Future,Where Ya From,"My adlibs be too high, got white gold, got new ice"
17870,Future,Forever Eva,Fuck all the fame forever ever
17871,Future,My Wrath,I ain't scared of nuthin' under the heavens
17872,Future,Nowhere,"I get a yacht master, you get a yacht master"
17873,Future,Diamonds Dancing (Demo),I'm familiar with this cash flow
17874,Future,Permanent Scar,Don’t get caught in my fit
17875,Future,Solitaires,Diamonds on my neck been going crazy
17876,Future,Attack,Congratulations
17877,Future,Kno the Meaning,"The good and the bad, you know what I'm saying?"
17878,Future,Argentiny,Pull the phantom up at the arena
17879,Future,Neva End,Actually that’s a guarantee
17880,Future,Smacked Silly (Rack City Freestyle),And I'mma player who
17881,Future,Kno the Meaning,"You need to go back in, show these niggas who the one"""
17882,Future,St. Lucia,"I'm a big dawg, I'ma fuck my girl in St. Lucia's (I'm outta here)"
17883,Future,Good Look,So much space so much space gear
17884,Future,Fettuccine,"I got that fettuccine on me, now I spend it quick"
17885,Future,Watch This,Watch this
17886,Future,Purple Love (Inspiration),Nobody but us
17887,Future,Monster,"I'ma go'n pull up on these hoes, young nigga jumpin' out the Ghost (Skrrt, skrrt)"
17888,Future,In Abundance,"Upper echelon, you my motherfuckin' student"
17889,Future,Fuck Up Some Commas,"A million, let's have a money shower"
17890,Future,Magic (Promo Only Clean Edit),Sipping on the purple and yellow drinking magic
17891,Future,Move That Dope,Young nigga move that dope
17892,Future,Where I Came From,"Twenty-three bricks in the speaker, man"
17893,Future,Attack,Dripping severe make ya nose bleed
17894,Future,Name Hold Weight,And they gone treat you like a God when you part of my squad
17895,Future,Trillionaire,"I wanna get me a mil' ticket, my young nigga wanna get his murders up"
17896,Future,Draco,Back in the kitchen with the Curry (Curry)
17897,Future,Sh!t,"Spending money on these hoes, nigga, you ain't fuck shit"
17898,Future,Never Been This High,First you lose your heart then your true friends disappear
17899,Future,Fresh Air,Where is the love tonight? Where is the drugs tonight?
17900,Future,Tricks on Me,"Tryna forget the way they did to Bankroll Fresh, gettin' harder"
17901,Future,Stand,She looking good with them jeans on ya
17902,Future,Mark McGwire,Who you think you is? Who you think you is? (Turn up)
17903,Future,Guap on Me,I put them bezels in Jesus face
17904,Future,Bye Bye,"When you see her out in public, she so shy-shy (Shy-shy)"
17905,Future,Super Trapper,My tennis bracelets lookin' like a water fountain
17906,Future,Money Train,"Pull up, perfect ten, 'bout my pesos"
17907,Future,Run Up,Shawty whip around the city in a half a mil'
17908,Future,Perkies,Nigga we all slide
17909,Future,One Helluva Night,"You can't tell me you got no love for me, no"
17910,Future,Do It To Em,"Hate I Do It To Em,  Do It To Em"
17911,Future,Bosses,"And we going crazy, crazy about that bag to say the least"
17912,Future,Wesley Presley,Young rich nigga bangin' on your daughter
17913,Future,Thug Song,"Keep that strap and that tooly, cause I know it ain't safe"
17914,Future,Trending Topic,Yeah that's a trending topic
17915,Future,Ransom,Ransom
17916,Future,DNA,"Got a bitch in every state, it’s in my DNA"
17917,Future,Like Ohh,Driving me crazy
17918,Future,The Matrix (Back to the Basics),We in the matrix my nigga we in the matrix
17919,Future,Diamonds Dancing (Demo),Bring some ice for my cup my drink with me
17920,Future,Baptiize,"I was just gettin' me some mula, I come from the streets and I jump on a Lear"
17921,Future,HATE THE REAL ME,"Open up a seal, don't feel me"
17922,Future,My Momma,My momma ain't raised no ho
17923,Future,Paparazzi (Dab),"Dab young nigga dab, dab young nigga dab"
17924,Future,Talk Shit Like a Preacher,"Ching ching, she done hit the jackpot (Woo)"
17925,Future,Karate Chop,Pull up in a new 'Rari
17926,Future,"Blood, Sweat, Tears","(I wish everyone, I wish everyone)"
17927,Future,Splurge,Quarter million on a spaceship
17928,Future,Name Hold Weight,We got A 1 bitches on the team
17929,Future,What’s Wrong,What the fuck wrong with these niggas
17930,Future,Up the River,"The way I'm shinin' every day, you might get blinded"
17931,Future,Championship Music,Bout to blow the whole feature on some Indonesia
17932,Future,Forever Eva,I get you hit up with drug money (Drug money)
17933,Future,Attack,All in the head
17934,Future,Damage,I prefer to do light drugs
17935,Future,Never Satisfied (Original Version),"Ordered up 10,000 ones and I throw it"
17936,Future,Fo’ Real,"Fo real (Nah, nah), fo real (Yeah, yeah, yeah)"
17937,Future,RACKS BLUE,I done went colorblind
17938,Future,March Madness,Spend a day to get my mind blown (Mind blown)
17939,Future,Shopping Spree,With a check that's blank
17940,Future,You Deserve It,You deserve it
17941,Future,Ain’t Coming Back,"Different, I done customized the Bentley, yeah"
17942,Future,Unicorn Purp,"Gave that Philippe to that lil' bitty bitch and I made her a monster (Yeah, yeah)"
17943,Future,Birthday,"And they know everything medusa on me, uh"
17944,Future,Groupies,I fuck on your bitch and I'll prove it
17945,Future,DNA,"Can’t see me, you capische"
17946,Future,Deeper Than the Ocean,My pain runnin' deeper than the ocean
17947,Future,Pajamas,I got your main thing giving me the neck
17948,Future,All Right,I been downin' Percocets with Hennessy
17949,Future,Faceshot,"Skrrt, skrrt in a fast car (Skrrt, skrrt)"
17950,Future,PIE,She could never be loyal (Loyal)
17951,Future,Trillionaire,Teezy on the beat (Teezy on the beat)
17952,Future,Codeine Crazy,"That ain't for you, shawty, that's for that other bitch"
17953,Future,31 DAYS,She want me to leave
17954,Future,Karate Chop,"I was never snitching, I can put it on the Bible"
17955,Future,Move That Dope,"Made myself a boss, a boss and a plug"
17956,Future,Spaz On Yall,Sippin' on codeine so I can make my thoughts clean
17957,Future,Back of the Ghost,You know what I know
17958,Future,Brain On Drugz,"All the kids out there it's very bad to say, my brain on drugs"
17959,Future,Touch the Sky,"Outer space froze, cold in my pics, yeah, yeah"
17960,Future,FREEBANDZ RADIO Episode 3 Tracklist,Future - Use Me
17961,Future,Rider,I could let you blow it right now uh hu
17962,Future,Fall In Love*,...
17963,Future,Osama (O’s),My niggas strapped with Osama
17964,Future,Ball Forever,I can make 20 bands off it and ion have to touch it
17965,Future,Bosses,I had to gamble for this life and put my last on it
17966,Future,Mark McGwire,I took those VVS's - and slapped 'em right on my chest
17967,Future,What’s Wrong,"I couldn't stop her if I wanted to, dat girl she bad and choosing"
17968,Future,Colossal,This shit gettin' colossal
17969,Future,All Bad,"I got one shine in the light, yeah"
17970,Future,Tycoon,Yeah
17971,Future,HiTek Tek,Yeah-yeah
17972,Future,Ball Forever,Order up the ones and let it go
17973,Future,Maybach,"Pouring up, act a dog with it"
17974,Future,Feeling I Get,Pray to God for my n*ggas
17975,Future,Magic (Promo Only Clean Edit),Flyin' down 20 in the mothafuckin' spaceship
17976,Future,Drippin (How U Luv That),I got a feelin' she want me like I want her
17977,Future,Thug Song,"Throwin money, cause it can be seen falling from our face"
17978,Future,Rocky,It's we sensei but it's why I stay
17979,Future,SOME MORE,Yellow Presi and it wasn't off-shore
17980,Future,Gangland,"Know the recipe, you need to learn about it"
17981,Future,Program,Ain't hollywood bitch
17982,Future,YSL Cheetah,"Denzel Washington, kid way flyer"
17983,Future,Fresh Air,I need to get out on my own
17984,Future,100 Shooters,"Fifty million dollars in cash, that's a cold case"
17985,Future,Be Encouraged,"I got this bitch on the side, I just been holdin' it down"
17986,Future,Overdose,"My lil' goon made a million dollars, now she ain't gettin' whacked"
17987,Future,Transform,"Going back to the future, right to J.Fox, Nigga"
17988,Future,Draco,You ain't never ever get your bitch back (You know)
17989,Future,2Pac,"Got bandana 'round my head like I'm 2Pac (Yeah, what?)"
17990,Future,Tycoon,"I ain't going, no, no, I'ma spray it"
17991,Future,After That,"First class my flight, nigga (Flight)"
17992,Future,Thought It Was a Drought,Better watch what you say to these niggas
17993,Future,Draco,Keep an F&N at your home
17994,Future,Just Like Bruddas,"They say I turned my back on my baby mama, I'm on them tabs"
17995,Future,Just Like Bruddas,"And my hood looking up to me, I love them niggas to death"
17996,Future,Whole Lotta Racks,"Countin' up a whole lotta racks, uh"
17997,Future,Real Sisters,I don't give a fuck if they were real sisters (I swear)
17998,Future,Jersey,"You do what you want when you got it, yeah"
17999,Future,Goin Dummi,"Give a nigga that na-na, you get wet up, your dream-dream"
18000,Future,Low Life,"Said I'm reppin' for that low life (Representin', wait)"
18001,Future,Championship Music,On my way to Puerto Rico with this Mamacita
18002,Future,Neva Missa Lost,"You know, you know"
18003,Future,Like Ohh,Carmelo & Jordans what I'm into
18004,Future,Kno the Meaning,And I know where I wanna go
18005,Future,31 DAYS,Shawty gettin' laid
18006,Future,Scrape,You already know what I'm doin'
18007,Future,How Can I Not,We on that drank we on that drank
18008,Future,Spaz On Yall,The recipe the formula
18009,Future,Splurge,"I splurge, I splurge"
18010,Future,Turn On the Lights,"I heard she keep her promises, and never turn on you"
18011,Future,20 Hoes,"I got, I got twenty big bodies (Woo)"
18012,Future,Layover,Keep some pretty shit at the condo
18013,Future,Intro,The movie
18014,Future,Life Of a G,Gotta shake them haters offa your sleeve
18015,Future,One Minute,"One minute, ten milli, one minute no limit"
18016,Future,Never Forget,"DJ Esco, let's go"
18017,Future,Grammys,They gon' think I won a Grammy
18018,Future,Peacoat,"Pardon my luggage, Vuitton don (Yeah)"
18019,Future,Stick to the Models,"I went to Neptune, I went to Mars, yeah, streets get hotter than lava"
18020,Future,Club On Smash,"She wanna take me home, take me home, take me home"
18021,Future,Statistics,Nobody to hand around school of swag and jackers
18022,Future,Forever Eva,The love that we got is forever ever
18023,Future,31 DAYS,We don't put on fugazi
18024,Future,I’m So Groovy,"No relation, mhm (Mhm)"
18025,Future,Show My Chain Some Love,"Come show my chain some love, uh"
18026,Future,Substitute Everything,"I make a lot of mil's, I had to pop a pill"
18027,Future,Sh!t,Bought the ho a hunnid pair of red bottoms (Shit!)
18028,Future,Too Excited,I jumped in that gatti then I pulled out like woo!
18029,Future,You’ll Never Understand (From Another Planet),"Takin’ my time, come and takin’ over charts"
18030,Future,Blow a Bag,"I know for sure, for sure"
18031,Future,Stick Talk,"They know they talk that stick talk, that stick talk"
18032,Future,Drug Lord,I'm a motherfuckin' drug lord
18033,Future,Osama (O’s),My niggas strapped with Osama
18034,Future,Undefeated,I got that tool when I walk out that door
18035,Future,In Her Mouth,I’m ‘bout to cash out on a new Bugatti
18036,Future,Purple Coming In,Washin' that money at the cleaners (Freebandz)
18037,Future,Stains,"Patek Phillipe, I'm too unique"
18038,Future,Hate in Your Soul,"I'm takin' this personal, nigga, like Monica"
18039,Future,March Madness,Two hundred miles on the dash (Woo)
18040,Future,Flip,"Then I flip, flip, flip, flip, game over (Game over)"
18041,Future,Attack,We treat the shit the mob and you going under
18042,Future,Stars*,Ridin' 'round 
18043,Future,Friends,Get high with my friend
18044,Future,Spaz On Yall,Yu wanna see me win I go taliban
18045,Future,Lookin Exotic,"And when that green money on the turf, it's their call"
18046,Future,Maybach,"On good drink, on good drink"
18047,Future,Absolutely Going Brazy,"Ground it up, we don't take a day off"
18048,Future,31 DAYS,Money get made
18049,Future,WIFI LIT,"I spend over 5,000, that's just on one fit (whoa, whoa)"
18050,Future,Freeband Taliban,"I remix it, pack it up"
18051,Future,Jordan Diddy,"I'm a hundred millionaire, I went a little over"
18052,Future,My Savages,"Got lil' shawty with me, she a pro"
18053,Future,Brett Montana,"Sell a gram, move it ounce for ounce"
18054,Future,Long Time Coming,You know what I'm saying checkin' on you makin' sure everything's straight
18055,Future,Same Accord,I took some time out to make you fly
18056,Future,Whole Lotta Racks,"I got a hoe with a text, uh"
18057,Future,First Class Flights,I can't take no sauce my nigga I'm trying to stack it tall
18058,Future,Fuck You Mean (Night Vision Ep. 1),I'm throwin' slugs for these racks
18059,Future,Talk Shit Like a Preacher,Cartier my eyes (Cartier my eyes)
18060,Future,No Matter What,"We broke the rules, we took it further then"
18061,Future,No Shame,There's no shame in my pain (in my pain)
18062,Future,Perkies,I hit the gas
18063,Future,In Abundance (Demo),Let the banger go
18064,Future,Comin Out Strong,"Must be out of your mind, do you know who I am? (Do you know who I am?)"
18065,Future,Last Name,"I can't go to sleep, I'm paranoid and it's way too many homicides"
18066,Future,Faded,I could of fucked her from the start and put her on a camera
18067,Future,I’m So Groovy,"Making love with my diamonds on, hmm"
18068,Future,31 DAYS,Young nigga flood out a 'axima
18069,Future,Pesos (Dinero),Fuck her all the time tryna make that pussy squirt
18070,Future,Extra Luv,"Ooh, ooh, ooh-ooh-ooh"
18071,Future,Damage,Stop trying to fuck my life up
18072,Future,Side Effects,"I give you plenty, you play your part"
18073,Future,Fuck Up Some Commas,"Bought a lil' ice, yeah, I wanna beat that dope like Ike, yeah"
18074,Future,Keys,I can't help but to pull up in a brand new big body
18075,Future,Power Of That P,Don’t you piss me off young doolie got that P tatted on his face (Piru)
18076,Future,Where I Came From,You know where I came from
18077,Future,Keep on Shinin’,They ride with a hundred rounds nigga
18078,Future,Blow,I stuff the cash in my denim
18079,Future,Brain On Drugz,"I'm on a real strong pack, that California OG"
18080,Future,Tycoon,I been chinchilla sheet wherever I'm stayin'
18081,Future,HATE THE REAL ME,"I'm tryna get high as I can, can, can"
18082,Future,All I Want Is Some Money,All I want is some money
18083,Future,Oh Yeah,"Feel like Hov, yeah"
18084,Future,Freestyle (no autotune),"Let a hoe ride first class put your shit in the bentley, man what's goin' on?"
18085,Future,Politics,When every day all you do is sip poison (Sip poison)
18086,Future,HiTek Tek,"I got black cards and Visas, I'm gettin' paid"
18087,Future,Chosen One (Original Version),Bought a few houses and I never sleep at one
18088,Future,20 Hoes,"Fuck my enemies, twenty Gs, they'll never be safe (Never be safe)"
18089,Future,Groupies,"I pop me a Perc, it's a movie"
18090,Future,Rocket Ship,"I took four, I'm feelin' like a rocket ship, yeah"
18091,Future,SOME MORE,Zaytoven
18092,Future,That’s a Check,"Credit card fraud, busting checky"
18093,Future,Wesley Presley,"Gold bottle coming right now, gotta Ace of Spade it"
18094,Future,Salute,"This for my young niggas grindin', went snatched them a Rollie (Salute)"
18095,Future,Never Gon Lose,She fuck with Super 'cause she got that super
18096,Future,Kno the Meaning,"Get back in the studio, give 'em what they was missing"
18097,Future,Purple Coming In,"I'm goin' in, I'm comin' in, comin' in, comin' in, let's go"
18098,Future,Trillionaire,"38, Atlanta, Lil Haiti (Haiti)"
18099,Future,Fuk Is U Doin’,Fire Marshal
18100,Future,Ain Nun,"Ain’t nothing but a baller, been a shot caller"
18101,Future,Keep Quiet,Braless swag is complementary
18102,Future,Too Faded,I done got too too faded
18103,Future,Trance,"I touch your hand, I touch your heart and I might touch your mind"
18104,Future,I’m Trippin’,"Fucked around, popped a bean, I'm trippin'"
18105,Future,Move That Dope (Radio Edit),"Aye move that dope, aye move that dope"
18106,Future,No Matter What,We didn't mean for it to get this serious...
18107,Future,Chosen One,"Got this watch, and this watch like a one of one(thats pique)"
18108,Future,Codeine Crazy,I just dropped a whole thang on it
18109,Future,Charged Up,I've been selling 
18110,Future,Colossal,This shit gettin' colossal
18111,Future,Extra,Until I can't feel no more pain
18112,Future,Krazy but True,Tell me
18113,Future,Damage,Now she trying to fuck my life up
18114,Future,Mask Off,"Switch states, touch down, foreign plates (Speech)"
18115,Future,DNA,"I'm stackin' paper every day, it’s in my DNA"
18116,Future,Mask Off,"Rep the set (Yee), gotta rep the set (Gang, gang)"
18117,Future,Nun ’bout U,Man I hope they let her come through (she foreign)
18118,Future,Motion Picture,"Then after make a motion picture, we gon make a motion picture"
18119,Future,Might as Well,Living with the pink slip
18120,Future,Trillionaire,"I'm steps away, I can't stop now (I can't)"
18121,Future,56 Nights,I done did enough in the jungle
18122,Future,Paparazzi (Dab),"Fell asleep in her pussy on a Perc, tired"
18123,Future,Whole Lotta Racks,I put chinchilla on the carpet
18124,Future,Do It To Em,"Hate I Do It To Em,  Do It To Em"
18125,Future,4 da Gang,"Ain't got one more tear to shed on me, all my sons straight (Yeah)"
18126,Future,56 Nights,"I could still see the scar on a nigga hand, man this shit real crazy"
18127,Future,Can’t Make This Up,Yes I do till death do us part
18128,Future,Fuck Up Some Commas,Let's fuck up some commas
18129,Future,I Be U,"You workin,' I'm workin'"
18130,Future,Sh!t,Aye
18131,Future,Where I Came From,I walk in a check and I talk a check (I talk a check)
18132,Future,Chosen One (Original Version),You got body bags on body bags round here
18133,Future,100 Shooters,Got a hundred shooters sittin' outside
18134,Future,Show Money,"And bout 20 in my sleep, for my niggas who got caught up in the street?"
18135,Future,Draco,Who was wrapping dummies in the zone
18136,Future,No Love,Done ran off to the club
18137,Future,Everything Ours,That money bring you power
18138,Future,Be Encouraged,"I'm fuckin' it up right now, I'm throwin' it up right now"
18139,Future,Fly Shit Only,"I be staying at the telly, eat a sandwich out the deli"
18140,Future,Whole Lotta Racks,"Countin' up a whole lotta racks, uh"
18141,Future,SOME MORE,"Three in a condo, I'm keeping 'em stored"
18142,Future,Perkys Calling,I can hear the streets callin'
18143,Future,"Ballin’, Flexin’","Ice neck, wrist fist, yes, I'm balling out, bitch"
18144,Future,Turn on Me,"I got them Texas boppers on call, shit get way too trill"
18145,Future,Best 2 Shine,"Man, these niggas say they fly, but they ain't fly like me"
18146,Future,31 DAYS,I took a little E (Took a little E)
18147,Future,RED LIGHT,Sleepin' on the floor had made my heart colder
18148,Future,I’m So Groovy,"Percs and molly, mhm, Plain Jane, mhm"
18149,Future,Black Jew,"I can't forget about my people, they don't know what else to do"
18150,Future,Notice Me,(Ooh-ooh) I know you know you notice me
18151,Future,Codeine Crazy,"Rollie, AP, Hublot, triple time"
18152,Future,Accepting My Flaws,"Sittin' out on my porch, I'm in disbelief"
18153,Future,F&N,"F&N (F&), F&N (F&N)"
18154,Future,Be Encouraged,"You look like the Feds right now, I'm gettin' to this bread right now"
18155,Future,One Helluva Night,One hell of a night
18156,Future,Hard to Choose One,"Made it off the streets, I came up from a crumb"
18157,Future,We Made Our Own,"Man fuck yo attitude, you 'bout to make me fuck your friend"
18158,Future,Photo Copied,You don't want no static we just got these things established
18159,Future,Tony Montana,"Plugged in with Colombians, I know Sosa"
18160,Future,Feds Did a Sweep,I done start buyin' more Cubans
18161,Future,My Savages,They tried to infiltrate us and then betrayed us
